content_hash_id,client_hash_id,first_seen,last_seen,active_days,total_impressions,total_clicks,ctr,avg_position,total_pageviews,total_engagement_sec,engagement_per_view,total_scrolls,scrolls_per_view,total_users,organic_sessions,direct_sessions,social_sessions,ai_sessions,referral_sessions,organic_share,ai_share,social_share,direct_share,chatgpt_sessions,perplexity_sessions,gemini_sessions,copilot_sessions,claude_sessions,meta_sessions,other_ai_sessions,chatgpt_share,perplexity_share,gemini_share,copilot_share,claude_share,meta_share,has_search,has_engagement,has_ai,is_active,engagement_tier,search_tier,activity_tier
content_e31970a950901d1c,client_2094c6eb080311d5,2026-06-01,2026-06-30,30,10.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,Low,Low,High
content_33c8382771bc1d01,client_20259bd6705d81d4,2026-06-01,2026-06-30,30,854.0,6.0,0.00702576112412178,995.9333333333333,8.0,1.0,0.125,4.0,0.5,6.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,Low,Low,High
content_b0252eef5cb681d2,client_a80fca3f171ed1de,2026-06-01,2026-06-25,25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,Low,Low,High
content_3b808bbad47c3913,client_62f4a7e64f5e0096,2026-06-01,2026-06-30,30,1908.0,5.0,0.002620545073375262,488.6333333333333,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,Low,Low,High
content_ef312343731999c5,client_62f4a7e64f5e0096,2026-06-01,2026-06-30,30,8.0,0.0,0.0,21.4,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,Low,Low,High
content_d22fc97f16ad7633,client_fef1a8f436438636,2026-06-01,2026-06-30,30,1050.0,2.0,0.0019047619047619048,313.3,11.0,6.0,0.5454545454545454,1.0,0.09090909090909091,8.0,3.0,2.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,Low,Low,High
content_563c92fb6bb83c54,client_9c26c096d6e57253,2026-06-01,2026-06-30,30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,Low,Low,High
content_a8ae7bcedddaecd0,client_7de9989c909e91a5,2026-06-01,2026-06-30,30,23.0,0.0,0.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,Low,Low,High
content_b436c219c01b5228,client_2094c6eb080311d5,2026-06-01,2026-06-30,30,19.0,1.0,0.05263157894736842,4.966666666666667,12.0,6.0,0.5,0.0,0.0,6.0,2.0,2.0,0.0,0.0,6.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,Low,Low,High
content_c2088f9abc575deb,client_73cda7b4e4f265ea,2026-06-01,2026-06-30,30,2434.0,5.0,0.002054231717337716,643.3,10.0,0.0,0.0,0.0,0.0,8.0,7.0,2.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,Low,Low,High
content_39cb624c46c79ec8,client_73cda7b4e4f265ea,2026-06-01,2026-06-30,30,193.0,0.0,0.0,298.6666666666667,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,Low,Low,High
content_1839d52e695f551a,client_2910fd937f0b4d9a,2026-06-01,2026-06-30,30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,Low,Low,High
